2025-07-15 22:33:19,339 - Fold 3 Epoch 5: Train Loss=0.6787, Val Loss=0.6899, Acc=0.5556, F1=0.7143
2025-07-15 22:33:19,550 - Fold 3 Epoch 6: Train Loss=0.6785, Val Loss=0.6914, Acc=0.5556, F1=0.7143
2025-07-15 22:33:19,756 - Fold 3 Epoch 7: Train Loss=0.6787, Val Loss=0.6907, Acc=0.5556, F1=0.7143
2025-07-15 22:33:19,939 - Fold 3 Epoch 8: Train Loss=0.6781, Val Loss=0.6891, Acc=0.5556, F1=0.7143
2025-07-15 22:33:20,135 - Fold 3 Epoch 9: Train Loss=0.6799, Val Loss=0.6895, Acc=0.5556, F1=0.7143
2025-07-15 22:33:20,325 - Fold 3 Epoch 10: Train Loss=0.6787, Val Loss=0.6889, Acc=0.5556, F1=0.7143
2025-07-15 22:33:20,531 - Fold 3 Epoch 11: Train Loss=0.6785, Val Loss=0.6896, Acc=0.5556, F1=0.7143
2025-07-15 22:33:20,722 - Fold 3 Epoch 12: Train Loss=0.6783, Val Loss=0.6903, Acc=0.5556, F1=0.7143
2025-07-15 22:33:20,913 - Fold 3 Epoch 13: Train Loss=0.6779, Val Loss=0.6894, Acc=0.5556, F1=0.7143
2025-07-15 22:33:21,100 - Fold 3 Epoch 14: Train Loss=0.6778, Val Loss=0.6909, Acc=0.5556, F1=0.7143
2025-07-15 22:33:21,287 - Fold 3 Epoch 15: Train Loss=0.6784, Val Loss=0.6895, Acc=0.5556, F1=0.7143
2025-07-15 22:33:21,495 - Fold 3 Epoch 16: Train Loss=0.6780, Val Loss=0.6902, Acc=0.5556, F1=0.7143
2025-07-15 22:33:21,679 - Fold 3 Epoch 17: Train Loss=0.6787, Val Loss=0.6899, Acc=0.5556, F1=0.7143
2025-07-15 22:33:21,876 - Fold 3 Epoch 18: Train Loss=0.6782, Val Loss=0.6895, Acc=0.5556, F1=0.7143
2025-07-15 22:33:22,091 - Fold 3 Epoch 19: Train Loss=0.6785, Val Loss=0.6903, Acc=0.5556, F1=0.7143
2025-07-15 22:33:22,303 - Fold 3 Epoch 20: Train Loss=0.6783, Val Loss=0.6895, Acc=0.5556, F1=0.7143
2025-07-15 22:33:22,307 - [OK] Saved output/lstm/sp500/sp500_fold3.pth
2025-07-15 22:33:22,308 - [▶] SP500 Fold 4/5
2025-07-15 22:33:22,651 - Fold 4 Epoch 1: Train Loss=0.6844, Val Loss=0.6654, Acc=0.6425, F1=0.7824
2025-07-15 22:33:22,933 - Fold 4 Epoch 2: Train Loss=0.6832, Val Loss=0.6641, Acc=0.6425, F1=0.7824
2025-07-15 22:33:23,123 - Fold 4 Epoch 3: Train Loss=0.6833, Val Loss=0.6637, Acc=0.6425, F1=0.7824
