ticker,fold,accuracy,f1_score
sp500,1,0.6618357487922706,0.7965116279069767
sp500,2,0.47342995169082125,0.6426229508196721
sp500,3,0.5555555555555556,0.7142857142857143
sp500,4,0.642512077294686,0.7823529411764706
sp500,5,0.5845410628019324,0.7378048780487805
nvidia,1,0.5362318840579711,0.6546762589928058
nvidia,2,0.5603864734299517,0.5517241379310345
nvidia,3,0.5603864734299517,0.4276729559748428
nvidia,4,0.5700483091787439,0.5435897435897435
nvidia,5,0.5603864734299517,0.5472636815920398
tesla,1,0.4927536231884058,0.47761194029850745
tesla,2,0.5024154589371981,0.5928853754940712
tesla,3,0.5458937198067633,0.2878787878787879
tesla,4,0.5603864734299517,0.5333333333333333
tesla,5,0.5024154589371981,0.0
