ticker,fold,accuracy,f1_score
sp500,1,0.6618357487922706,0.7965116279069767
sp500,2,0.47342995169082125,0.6426229508196721
sp500,3,0.5555555555555556,0.7142857142857143
sp500,4,0.642512077294686,0.7823529411764706
sp500,5,0.5845410628019324,0.7378048780487805
nvidia,1,0.5120772946859904,0.5943775100401606
nvidia,2,0.5652173913043478,0.40789473684210525
nvidia,3,0.5217391304347826,0.44692737430167595
nvidia,4,0.5748792270531401,0.5728155339805825
nvidia,5,0.5555555555555556,0.5660377358490566
tesla,1,0.5265700483091788,0.65
tesla,2,0.5169082125603864,0.6062992125984252
tesla,3,0.5458937198067633,0.43373493975903615
tesla,4,0.5845410628019324,0.6090909090909091
tesla,5,0.5555555555555556,0.5157894736842106
